nohup: ignoring input
Device: cuda
Loading note model from /workspace/scripts/../models/pretrained/CRNN_note_F1=0.9677_pedal_F1=0.9186.pth
Building datasets...
Train segments: 57200, Val segments: 7342
Starting training (max_steps=70000, starting_step=0)
[step 10/70000] loss=0.8174 lr=1.0e-05 (0.90s/step, ~17h29m left)
[step 20/70000] loss=0.7570 lr=1.0e-05 (0.83s/step, ~16h07m left)
[step 30/70000] loss=0.7397 lr=1.0e-05 (0.81s/step, ~15h49m left)
[step 40/70000] loss=0.6951 lr=1.0e-05 (0.82s/step, ~15h54m left)
[step 50/70000] loss=0.7007 lr=1.0e-05 (0.82s/step, ~15h50m left)
[step 60/70000] loss=0.6658 lr=1.0e-05 (0.82s/step, ~15h50m left)
[step 70/70000] loss=0.6904 lr=1.0e-05 (0.81s/step, ~15h48m left)
[step 80/70000] loss=0.6593 lr=1.0e-05 (0.82s/step, ~15h51m left)
[step 90/70000] loss=0.6290 lr=1.0e-05 (0.82s/step, ~15h52m left)
[step 100/70000] loss=0.6321 lr=1.0e-05 (0.82s/step, ~15h51m left)
[step 110/70000] loss=0.6412 lr=1.0e-05 (0.82s/step, ~15h49m left)
[step 120/70000] loss=0.6721 lr=1.0e-05 (0.81s/step, ~15h46m left)
[step 130/70000] loss=0.6444 lr=1.0e-05 (0.81s/step, ~15h45m left)
[step 140/70000] loss=0.6346 lr=1.0e-05 (0.82s/step, ~15h51m left)
[step 150/70000] loss=0.6320 lr=1.0e-05 (0.81s/step, ~15h47m left)
[step 160/70000] loss=0.6133 lr=1.0e-05 (0.81s/step, ~15h48m left)
[step 170/70000] loss=0.6256 lr=1.0e-05 (0.82s/step, ~15h51m left)
[step 180/70000] loss=0.6639 lr=1.0e-05 (0.81s/step, ~15h48m left)
[step 190/70000] loss=0.6158 lr=1.0e-05 (0.81s/step, ~15h46m left)
[step 200/70000] loss=0.6596 lr=1.0e-05 (0.81s/step, ~15h46m left)
[step 210/70000] loss=0.6349 lr=1.0e-05 (0.82s/step, ~15h50m left)
[step 220/70000] loss=0.6182 lr=1.0e-05 (0.81s/step, ~15h47m left)
[step 230/70000] loss=0.6402 lr=1.0e-05 (0.81s/step, ~15h46m left)
[step 240/70000] loss=0.5979 lr=1.0e-05 (0.82s/step, ~15h49m left)
[step 250/70000] loss=0.6477 lr=1.0e-05 (0.82s/step, ~15h48m left)
[step 260/70000] loss=0.6083 lr=1.0e-05 (0.81s/step, ~15h45m left)
[step 270/70000] loss=0.6245 lr=1.0e-05 (0.81s/step, ~15h45m left)
[step 280/70000] loss=0.6162 lr=1.0e-05 (0.81s/step, ~15h46m left)
[step 290/70000] loss=0.6079 lr=1.0e-05 (0.82s/step, ~15h47m left)
[step 300/70000] loss=0.6153 lr=1.0e-05 (0.82s/step, ~15h46m left)
[step 310/70000] loss=0.6199 lr=1.0e-05 (0.81s/step, ~15h44m left)
[step 320/70000] loss=0.6078 lr=1.0e-05 (0.81s/step, ~15h45m left)
[step 330/70000] loss=0.6131 lr=1.0e-05 (0.82s/step, ~15h48m left)
[step 340/70000] loss=0.6193 lr=1.0e-05 (0.81s/step, ~15h45m left)
[step 350/70000] loss=0.6131 lr=1.0e-05 (0.82s/step, ~15h46m left)
[step 360/70000] loss=0.6255 lr=1.0e-05 (0.81s/step, ~15h42m left)
[step 370/70000] loss=0.6411 lr=1.0e-05 (0.82s/step, ~15h46m left)
[step 380/70000] loss=0.6025 lr=1.0e-05 (0.81s/step, ~15h42m left)
[step 390/70000] loss=0.6146 lr=1.0e-05 (0.81s/step, ~15h40m left)
[step 400/70000] loss=0.6316 lr=1.0e-05 (0.81s/step, ~15h44m left)
[step 410/70000] loss=0.6086 lr=1.0e-05 (0.81s/step, ~15h43m left)
[step 420/70000] loss=0.6209 lr=1.0e-05 (0.81s/step, ~15h41m left)
[step 430/70000] loss=0.6189 lr=1.0e-05 (0.81s/step, ~15h40m left)
[step 440/70000] loss=0.6014 lr=1.0e-05 (0.82s/step, ~15h48m left)
[step 450/70000] loss=0.5979 lr=1.0e-05 (0.82s/step, ~15h50m left)
[step 460/70000] loss=0.6055 lr=1.0e-05 (0.82s/step, ~15h45m left)
[step 470/70000] loss=0.6170 lr=1.0e-05 (0.81s/step, ~15h41m left)
[step 480/70000] loss=0.6105 lr=1.0e-05 (0.82s/step, ~15h47m left)
[step 490/70000] loss=0.6028 lr=1.0e-05 (0.81s/step, ~15h42m left)
[step 500/70000] loss=0.6140 lr=1.0e-05 (0.81s/step, ~15h40m left)
[step 510/70000] loss=0.6156 lr=1.0e-05 (0.81s/step, ~15h40m left)
[step 520/70000] loss=0.6048 lr=1.0e-05 (0.82s/step, ~15h44m left)
[step 530/70000] loss=0.6133 lr=1.0e-05 (0.81s/step, ~15h43m left)
[step 540/70000] loss=0.6068 lr=1.0e-05 (0.81s/step, ~15h43m left)
[step 550/70000] loss=0.5941 lr=1.0e-05 (0.82s/step, ~15h45m left)
[step 560/70000] loss=0.6123 lr=1.0e-05 (0.82s/step, ~15h48m left)
[step 570/70000] loss=0.5933 lr=1.0e-05 (0.82s/step, ~15h49m left)
[step 580/70000] loss=0.6023 lr=1.0e-05 (0.82s/step, ~15h47m left)
[step 590/70000] loss=0.6257 lr=1.0e-05 (0.82s/step, ~15h49m left)
[step 600/70000] loss=0.5918 lr=1.0e-05 (0.82s/step, ~15h47m left)
[step 610/70000] loss=0.5990 lr=1.0e-05 (0.82s/step, ~15h47m left)
[step 620/70000] loss=0.6036 lr=1.0e-05 (0.82s/step, ~15h49m left)
[step 630/70000] loss=0.6106 lr=1.0e-05 (0.83s/step, ~15h54m left)
[step 640/70000] loss=0.6194 lr=1.0e-05 (0.82s/step, ~15h51m left)
[step 650/70000] loss=0.6126 lr=1.0e-05 (0.82s/step, ~15h51m left)
[step 660/70000] loss=0.6009 lr=1.0e-05 (0.82s/step, ~15h47m left)
[step 670/70000] loss=0.6197 lr=1.0e-05 (0.82s/step, ~15h49m left)
[step 680/70000] loss=0.5971 lr=1.0e-05 (0.82s/step, ~15h45m left)
[step 690/70000] loss=0.6037 lr=1.0e-05 (0.82s/step, ~15h46m left)
[step 700/70000] loss=0.5899 lr=1.0e-05 (0.82s/step, ~15h44m left)
[step 710/70000] loss=0.5970 lr=1.0e-05 (0.82s/step, ~15h44m left)
[step 720/70000] loss=0.6007 lr=1.0e-05 (0.81s/step, ~15h40m left)
[step 730/70000] loss=0.6028 lr=1.0e-05 (0.82s/step, ~15h40m left)
[step 740/70000] loss=0.6039 lr=1.0e-05 (0.82s/step, ~15h41m left)
[step 750/70000] loss=0.6247 lr=1.0e-05 (0.82s/step, ~15h41m left)
[step 760/70000] loss=0.5972 lr=1.0e-05 (0.82s/step, ~15h43m left)
[step 770/70000] loss=0.6267 lr=1.0e-05 (0.82s/step, ~15h47m left)
[step 780/70000] loss=0.6036 lr=1.0e-05 (0.82s/step, ~15h46m left)
[step 790/70000] loss=0.6012 lr=1.0e-05 (0.82s/step, ~15h48m left)
[step 800/70000] loss=0.5955 lr=1.0e-05 (0.82s/step, ~15h45m left)
[step 810/70000] loss=0.5914 lr=1.0e-05 (0.82s/step, ~15h45m left)
[step 820/70000] loss=0.6057 lr=1.0e-05 (0.82s/step, ~15h41m left)
[step 830/70000] loss=0.6119 lr=1.0e-05 (0.81s/step, ~15h38m left)
[step 840/70000] loss=0.5873 lr=1.0e-05 (0.82s/step, ~15h39m left)
[step 850/70000] loss=0.6115 lr=1.0e-05 (0.81s/step, ~15h38m left)
[step 860/70000] loss=0.6274 lr=1.0e-05 (0.82s/step, ~15h44m left)
[step 870/70000] loss=0.6041 lr=1.0e-05 (0.81s/step, ~15h38m left)
[step 880/70000] loss=0.5945 lr=1.0e-05 (0.82s/step, ~15h44m left)
[step 890/70000] loss=0.6128 lr=1.0e-05 (0.82s/step, ~15h39m left)
[step 900/70000] loss=0.5907 lr=1.0e-05 (0.82s/step, ~15h41m left)
[step 910/70000] loss=0.6120 lr=1.0e-05 (0.82s/step, ~15h40m left)
[step 920/70000] loss=0.6034 lr=1.0e-05 (0.82s/step, ~15h42m left)
[step 930/70000] loss=0.6155 lr=1.0e-05 (0.82s/step, ~15h40m left)
[step 940/70000] loss=0.6047 lr=1.0e-05 (0.82s/step, ~15h44m left)
[step 950/70000] loss=0.5947 lr=1.0e-05 (0.82s/step, ~15h39m left)
[step 960/70000] loss=0.6003 lr=1.0e-05 (0.82s/step, ~15h39m left)
[step 970/70000] loss=0.5886 lr=1.0e-05 (0.81s/step, ~15h35m left)
[step 980/70000] loss=0.5943 lr=1.0e-05 (0.82s/step, ~15h45m left)
[step 990/70000] loss=0.5926 lr=1.0e-05 (0.81s/step, ~15h36m left)
[step 1000/70000] loss=0.5932 lr=1.0e-05 (0.81s/step, ~15h36m left)
[step 1010/70000] loss=0.6033 lr=1.0e-05 (0.82s/step, ~15h43m left)
[step 1020/70000] loss=0.5858 lr=1.0e-05 (0.83s/step, ~15h49m left)
[step 1030/70000] loss=0.5989 lr=1.0e-05 (0.83s/step, ~15h54m left)
[step 1040/70000] loss=0.5877 lr=1.0e-05 (0.83s/step, ~15h54m left)
[step 1050/70000] loss=0.5898 lr=1.0e-05 (0.83s/step, ~15h57m left)
[step 1060/70000] loss=0.6001 lr=1.0e-05 (0.83s/step, ~15h54m left)
[step 1070/70000] loss=0.5908 lr=1.0e-05 (0.82s/step, ~15h46m left)
